unicode,latex
"\u00C0","\\`{A}"
"\u00C1","\\'{A}"
"\u00C2","\\^{A}"
"\u00C3","\\~{A}"
"\u00C4","\\""{A}"
"\u00C5","\\AA "
"\u00C6","\\AE "
"\u00C7","\\c{C}"
"\u00C8","\\`{E}"
"\u00C9","\\'{E}"
"\u00CA","\\^{E}"
"\u00CB","\\""{E}"
"\u00CC","\\`{I}"
"\u00CD","\\'{I}"
"\u00CE","\\^{I}"
"\u00CF","\\""{I}"
"\u00D0","\\DH "
"\u00D1","\\~{N}"
"\u00D2","\\`{O}"
"\u00D3","\\'{O}"
"\u00D4","\\^{O}"
"\u00D5","\\~{O}"
"\u00D6","\\""{O}"
"\u00D7","\\texttimes "
"\u00D8","\\O "
"\u00D9","\\`{U}"
"\u00DA","\\'{U}"
"\u00DB","\\^{U}"
"\u00DC","\\""{U}"
"\u00DD","\\'{Y}"
"\u00DE","\\TH "
"\u00DF","\\ss "
"\u00E0","\\`{a}"
"\u00E1","\\'{a}"
"\u00E2","\\^{a}"
"\u00E3","\\~{a}"
"\u00E4","\\""{a}"
"\u00E5","\\aa "
"\u00E6","\\ae "
"\u00E7","\\c{c}"
"\u00E8","\\`{e}"
"\u00E9","\\'{e}"
"\u00EA","\\^{e}"
"\u00EB","\\""{e}"
"\u00EC","\\`{\\i}"
"\u00ED","\\'{\\i}"
"\u00EE","\\^{\\i}"
"\u00EF","\\""{\\i}"
"\u00F0","\\dh "
"\u00F1","\\~{n}"
"\u00F2","\\`{o}"
"\u00F3","\\'{o}"
"\u00F4","\\^{o}"
"\u00F5","\\~{o}"
"\u00F6","\\""{o}"
"\u00F7","\\div "
"\u00F8","\\o "
"\u00F9","\\`{u}"
"\u00FA","\\'{u}"
"\u00FB","\\^{u}"
"\u00FC","\\""{u}"
"\u00FD","\\'{y}"
"\u00FE","\\th "
"\u00FF","\\""{y}"
"\u0100","\\={A}"
"\u0101","\\={a}"
"\u0102","\\u{A}"
"\u0103","\\u{a}"
"\u0104","\\k{A}"
"\u0105","\\k{a}"
"\u0106","\\'{C}"
"\u0107","\\'{c}"
"\u0108","\\^{C}"
"\u0109","\\^{c}"
"\u010A","\\.{C}"
"\u010B","\\.{c}"
"\u010C","\\v{C}"
"\u010D","\\v{c}"
"\u010E","\\v{D}"
"\u010F","\\v{d}"
"\u0110","\\DJ "
"\u0111","\\dj "
"\u0112","\\={E}"
"\u0113","\\={e}"
"\u0114","\\u{E}"
"\u0115","\\u{e}"
"\u0116","\\.{E}"
"\u0117","\\.{e}"
"\u0118","\\k{E}"
"\u0119","\\k{e}"
"\u011A","\\v{E}"
"\u011B","\\v{e}"
"\u011C","\\^{G}"
"\u011D","\\^{g}"
"\u011E","\\u{G}"
"\u011F","\\u{g}"
"\u0120","\\.{G}"
"\u0121","\\.{g}"
"\u0122","\\c{G}"
"\u0123","\\c{g}"
"\u0124","\\^{H}"
"\u0125","\\^{h}"
"\u0126","{\\fontencoding{LELA}\\selectfont\\char40}"
"\u0127","\\Elzxh "
"\u0128","\\~{I}"
"\u0129","\\~{\\i}"
"\u012A","\\={I}"
"\u012B","\\={\\i}"
"\u012C","\\u{I}"
"\u012D","\\u{\\i}"
"\u012E","\\k{I}"
"\u012F","\\k{i}"
"\u0130","\\.{I}"
"\u0131","\\i "
# (u"\u0132","IJ"
# (u"\u0133","ij"
"\u0134","\\^{J}"
"\u0135","\\^{\\j}"
"\u0136","\\c{K}"
"\u0137","\\c{k}"
"\u0138","{\\fontencoding{LELA}\\selectfont\\char91}"
"\u0139","\\'{L}"
"\u013A","\\'{l}"
"\u013B","\\c{L}"
"\u013C","\\c{l}"
"\u013D","\\v{L}"
"\u013E","\\v{l}"
"\u013F","{\\fontencoding{LELA}\\selectfont\\char201}"
"\u0140","{\\fontencoding{LELA}\\selectfont\\char202}"
"\u0141","\\L "
"\u0142","\\l "
"\u0143","\\'{N}"
"\u0144","\\'{n}"
"\u0145","\\c{N}"
"\u0146","\\c{n}"
"\u0147","\\v{N}"
"\u0148","\\v{n}"
"\u0149","'n"
"\u014A","\\NG "
"\u014B","\\ng "
"\u014C","\\={O}"
"\u014D","\\={o}"
"\u014E","\\u{O}"
"\u014F","\\u{o}"
"\u0150","\\H{O}"
"\u0151","\\H{o}"
"\u0152","\\OE "
"\u0153","\\oe "
"\u0154","\\'{R}"
"\u0155","\\'{r}"
"\u0156","\\c{R}"
"\u0157","\\c{r}"
"\u0158","\\v{R}"
"\u0159","\\v{r}"
"\u015A","\\'{S}"
"\u015B","\\'{s}"
"\u015C","\\^{S}"
"\u015D","\\^{s}"
"\u015E","\\c{S}"
"\u015F","\\c{s}"
"\u0160","\\v{S}"
"\u0161","\\v{s}"
"\u0162","\\c{T}"
"\u0163","\\c{t}"
"\u0164","\\v{T}"
"\u0165","\\v{t}"
"\u0166","{\\fontencoding{LELA}\\selectfont\\char47}"
"\u0167","{\\fontencoding{LELA}\\selectfont\\char63}"
"\u0168","\\~{U}"
"\u0169","\\~{u}"
"\u016A","\\={U}"
"\u016B","\\={u}"
"\u016C","\\u{U}"
"\u016D","\\u{u}"
"\u016E","\\r{U}"
"\u016F","\\r{u}"
"\u0170","\\H{U}"
"\u0171","\\H{u}"
"\u0172","\\k{U}"
"\u0173","\\k{u}"
"\u0174","\\^{W}"
"\u0175","\\^{w}"
"\u0176","\\^{Y}"
"\u0177","\\^{y}"
"\u0178","\\""{Y}"
"\u0179","\\'{Z}"
"\u017A","\\'{z}"
"\u017B","\\.{Z}"
"\u017C","\\.{z}"
"\u017D","\\v{Z}"
"\u017E","\\v{z}"
"\u0195","\\texthvlig "
"\u019E","\\textnrleg "
"\u01AA","\\eth "
"\u01BA","{\\fontencoding{LELA}\\selectfont\\char195}"
"\u01C2","\\textdoublepipe "
"\u01F5","\\'{g}"
# "\u0386","\\'{A}"
# "\u0388","\\'{E}"
"\u0389","\\'{H}"
# "\u03CC","\\'{o}"

